"Dhaba By Claridges" 103
Bootlegger 103
Buzz 103
Eatopia 103
"Asian Haus" 102
"Mocha Arthouse" 102
Blues 102
"The Great Kabab Factory" 101
"Kitty Su - The Lalit New Delhi" 101
"Batman Delivers" 101
"Khaaja Chowk" 101
"FIO Cookhouse and Bar" 100
"Colonel's Kababz" 100
"Hao Shi Nian Niann" 100
"Talab  Cafe" 100
"The Royal Turban" 100
"Biryani Paradise" 100
"What A Comic Show" 99
"City of Joy" 99
"The BrewMaster" 99
"Spaghetti Kitchen" 99
"Sevilla - The Claridges" 99
"Bonne Bouche" 98
"Little Chef" 98
Starbucks 98
"Punjabi By Nature Quickie" 98
"My Bar & Restaurant" 98
"Beyond Breads" 98
"Cafe Blue Tomato" 97
"Dhaba - The Claridges" 97
"China Doll" 96
Minar 96
"Wok In The Clouds" 95
"Town Hall" 94
"Evergreen Sweet Shop" 94
Embassy 94
"Zerzura - Clarion Collection - Qutab" 94
"Moet's Sizzlers" 93
"Park Balluchi" 93
"TC Bar & Restaurant" 93
"Maison Des Desserts" 93
"The Bikers Cafe" 93
Suruchi 93
Tres 93
"The Great Kabab Factory - Radisson Blu..." 92
"Pasta Xpress" 92
"Shiro - Hotel Samrat" 91
"Pind Balluchi" 91
Dhaba 90
"Uber Lounge" 90
Nanking 90
"La Bodega" 90
"Wood Box Cafe" 89
"Excuse Me Boss" 89
Spasso 88
Sattvik 88
"Not Just Paranthas" 88
"The Pavilion - ITC Maurya" 87
"Krispy Kreme" 86
Sushiya 86
Sartoria 86
"Bar.King Street" 86
"Ice Lounge" 86
"Haagen Dazs" 85
"Defence Bakery" 85
"Freeze Lounge" 85
"Hi Kolkata" 85
"Roshan Di Kulfi" 85
SOY 84
L'Opera 84
"Veg Gulati" 84
"Yo! China Cafe" 83
Mistral 83
Nirula's 83
"Chocolateria San Churro" 82
"Angels in my Kitchen" 82
"Tibet Kitchen" 82
"Guruprasad Udupi" 82
"Desee Dakshin" 82
"Pizza Hut" 82
"Chic Fish" 82
"Wok  In The Clouds" 81
Faarsi 81
"Market Cafe & Bar" 80
"Diva - The Italian Restaurant" 80
Haldiram's 80
"Captain Grub" 80
"Turquoise Cottage -  TC Original 1997" 79
"Pijjaa -  Desi Pizzas" 79
"Smokey's BBQ and Grill" 79
"My Spice Kitchen" 79
"Punjabi By Nature" 79
"T'Pot Cafe" 78
"Kebab Gali" 78
"The Qube - The Leela Palace" 78
"Cafe Turtle" 78
"Fa Yian" 78
"Angels in my Kitchen" 78
"China Kitchen - Hyatt Regency" 77
"Rossa Asap !" 77
"Cafe Diva" 77
"Kunzum Travel Cafe" 76
"Spice Aangan" 76
"Moti Mahal Delux" 76
"Toast Bar & Grill" 75
"Etal The Lounge Bar" 75
"Machan - The Taj Mahal Hotel" 75
"Guppy by ai" 75
"Amsterdam Kitchen & Bar" 74
Nikashee 74
"The Blue Frog" 74
"Underdoggs Sports Bar & Grill" 74
"100% Rock" 74
